problem_id,bytes_raw,B_hat,z_B_hat,s_byte,time_sec,TL_sec,R,T_hat,z_T_hat,s_time,AC_human,H,z_H,s_H,WA_human,z_WA_human,s_WA,r_p,r_p_,w
ABC403,270.0,2.4313637641589874,1.0762768232869069,3,0.11147,2.0,0.055735,0.05423720682191323,0.9486597408917251,3,0.808704,0.19129600000000002,-0.7012238483668174,1,0.101786,-0.8113836097835858,0,7.5,8.5,1.0119047619047619
ABC403,139.0,2.143014800254095,-0.6194438143481025,0,0.082269,2.0,0.0411345,0.040310983976604604,-0.41054946982165574,1,0.808704,0.19129600000000002,-0.7012238483668174,1,0.101786,-0.8113836097835858,0,2.5,3.5,0.4166666666666667
ABC404,133.0,2.123851640967086,-0.7321383919363422,0,0.073641,2.0,0.0368205,0.03615881879694554,-0.8158037314606745,0,0.726363,0.273637,0.2872626423948774,2,0.181437,0.17039114559180962,2,6.0,7.0,0.8333333333333334
ABC404,312.0,2.494154594018443,1.4455367110457775,3,0.10895,2.0,0.054475,0.05304301273721034,0.8321055526285093,3,0.726363,0.273637,0.2872626423948774,2,0.181437,0.17039114559180962,2,12.0,13.0,1.5476190476190477
ABC404,137.0,2.1367205671564067,-0.6564588977987084,0,0.096906,2.0,0.048453,0.047315744413303384,0.2731201087970016,2,0.726363,0.273637,0.2872626423948774,2,0.181437,0.17039114559180962,2,8.0,9.0,1.0714285714285714
ABC405,303.0,2.4814426285023052,1.3707802701739142,3,0.105846,2.0,0.052923,0.05157010607166096,0.6883488191212417,2,0.708955,0.291045,0.4962420430722989,2,0.217901,0.619844820749792,3,12.5,13.5,1.6071428571428572
ABC405,251.0,2.399673721481038,0.8899142345374723,3,0.125497,2.0,0.0627485,0.0608584768231623,1.5949003814649652,3,0.708955,0.291045,0.4962420430722989,2,0.217901,0.619844820749792,3,13.5,14.5,1.7261904761904763
ABC405,250.0,2.3979400086720375,0.8797186279705489,3,0.08508,2.0,0.04254,0.04166004325929287,-0.2788803285766562,1,0.708955,0.291045,0.4962420430722989,2,0.217901,0.619844820749792,3,11.5,12.5,1.4880952380952381
ABC406,295.0,2.469822015978163,1.302441850599612,3,0.064141,2.0,0.0320705,0.0315669786795675,-1.263970578350243,0,0.672413,0.32758699999999996,0.9349211135889772,3,0.253374,1.057083473088512,3,12.0,13.0,1.5476190476190477
ABC406,209.0,2.3201462861110542,0.4222298302351001,2,0.123467,2.0,0.0617335,0.05990294970904479,1.5016402585284427,3,0.672413,0.32758699999999996,0.9349211135889772,3,0.253374,1.057083473088512,3,14.0,15.0,1.7857142857142858
ABC406,222.0,2.346352974450639,0.5763459458600552,2,0.080807,2.0,0.0404035,0.03960861867743522,-0.4791008203580354,1,0.672413,0.32758699999999996,0.9349211135889772,3,0.253374,1.057083473088512,3,12.0,13.0,1.5476190476190477
ABC407,159.0,2.2013971243204513,-0.2761094376549049,1,0.082449,2.0,0.0412245,0.040397424403117076,-0.4021128229864858,1,0.677477,0.322523,0.8741288522705918,3,0.260967,1.1506744602395256,3,11.0,12.0,1.4285714285714286
ABC407,240.0,2.380211241711606,0.7754594150796665,3,0.111826,2.0,0.055913,0.054405795526490504,0.9651141178343478,3,0.677477,0.322523,0.8741288522705918,3,0.260967,1.1506744602395256,3,15.0,16.0,1.9047619047619047
ABC407,165.0,2.2174839442139063,-0.18150617597560698,1,0.097117,2.0,0.0485585,0.04741636379482704,0.2829406316812314,2,0.677477,0.322523,0.8741288522705918,3,0.260967,1.1506744602395256,3,12.0,13.0,1.5476190476190477
ABC408,219.0,2.3404441148401185,0.5415971642075842,2,0.072124,2.0,0.036062,0.0354269876064628,-0.887230973853724,0,0.4787,0.5213,3.260405180881337,3,0.448382,3.4607435840255394,3,11.0,12.0,1.4285714285714286
ABC408,313.0,2.4955443375464483,1.4537095053903268,3,0.106935,2.0,0.0534675,0.05208710423712758,0.7388082061517222,3,0.4787,0.5213,3.260405180881337,3,0.448382,3.4607435840255394,3,15.0,16.0,1.9047619047619047
ABC408,243.0,2.385606273598312,0.8071864821275099,3,0.070594,2.0,0.035297,0.03468834207492354,-0.9593233007590525,0,0.4787,0.5213,3.260405180881337,3,0.448382,3.4607435840255394,3,12.0,13.0,1.5476190476190477
ABC409,176.0,2.24551266781415,-0.01667504770709232,1,0.069856,2.0,0.034928,0.034331859080169135,-0.9941162934689243,0,0.587829,0.41217099999999995,1.9503343504283062,3,0.319166,1.86803279834065,3,10.0,11.0,1.3095238095238095
ABC409,238.0,2.376576957056512,0.7540869384484832,3,0.101846,2.0,0.050923,0.04966882565239279,0.5027825039240917,2,0.587829,0.41217099999999995,1.9503343504283062,3,0.319166,1.86803279834065,3,14.0,15.0,1.7857142857142858
ABC409,185.0,2.2671717284030137,0.11069740938430027,2,0.080832,2.0,0.040416,0.03962063317460823,-0.4779281969266106,1,0.587829,0.41217099999999995,1.9503343504283062,3,0.319166,1.86803279834065,3,12.0,13.0,1.5476190476190477
ABC410,178.0,2.250420002308894,0.01218397181503257,1,0.097854,2.0,0.048927,0.04776773690686176,0.3172348962194079,2,0.841569,0.158431,-1.0957613025984048,0,0.082667,-1.0470435707134196,0,3.0,4.0,0.47619047619047616
ABC410,321.0,2.5065050324048723,1.5181670856172491,3,0.109499,2.0,0.0547495,0.05330329797621619,0.8575095762607079,3,0.841569,0.158431,-1.0957613025984048,0,0.082667,-1.0470435707134196,0,6.0,7.0,0.8333333333333334
ABC410,179.0,2.2528530309798933,0.02649211037568277,1,0.068869,2.0,0.0344345,0.033854900587536256,-1.0406677800791626,0,0.841569,0.158431,-1.0957613025984048,0,0.082667,-1.0470435707134196,0,1.0,2.0,0.23809523809523808
ABC411,84.0,1.9242792860618816,-1.9057821475136838,0,0.068934,2.0,0.034467,0.03388631822631961,-1.0376013962874093,0,0.814144,0.18585600000000002,-0.7665299110785116,0,0.112307,-0.6817022222140068,0,0.0,1.0,0.11904761904761904
ABC411,152.0,2.1818435879447726,-0.3910997421871649,1,0.120948,2.0,0.060474,0.05871597798467195,1.3857909777475164,3,0.814144,0.18585600000000002,-0.7665299110785116,0,0.112307,-0.6817022222140068,0,4.0,5.0,0.5952380952380952
ABC411,84.0,1.9242792860618816,-1.9057821475136838,0,0.097469,2.0,0.0487345,0.04758419919065694,0.2993214851567003,2,0.814144,0.18585600000000002,-0.7665299110785116,0,0.112307,-0.6817022222140068,0,2.0,3.0,0.35714285714285715
ABC412,151.0,2.1789769472931693,-0.4079578631520477,1,0.073689,2.0,0.0368445,0.03618196621950519,-0.8135445266284075,0,0.83722,0.16278000000000004,-1.0435524668018676,0,0.090017,-0.9564477909741926,0,1.0,2.0,0.23809523809523808
ABC412,244.0,2.3873898263387296,0.8176751870261827,3,0.097184,2.0,0.048592,0.04744831190728045,0.28605879007880525,2,0.83722,0.16278000000000004,-1.0435524668018676,0,0.090017,-0.9564477909741926,0,5.0,6.0,0.7142857142857143
ABC412,148.0,2.1702617153949575,-0.45921033998233424,1,0.090845,2.0,0.0454225,0.04442110992713331,-0.009398266713294271,2,0.83722,0.16278000000000004,-1.0435524668018676,0,0.090017,-0.9564477909741926,0,3.0,4.0,0.47619047619047616
ABC413,170.0,2.230448921378274,-0.10526182591324092,1,0.084717,2.0,0.0423585,0.04148593406360925,-0.29587350936025947,1,0.784207,0.215793,-0.4071424847182191,1,0.136484,-0.3836975736758725,1,5.0,6.0,0.7142857142857143
ABC413,268.0,2.428134794028789,1.0572879175737222,3,0.088565,2.0,0.0442825,0.04333004672626066,-0.11588680768878963,2,0.784207,0.215793,-0.4071424847182191,1,0.136484,-0.3836975736758725,1,8.0,9.0,1.0714285714285714
ABC413,170.0,2.230448921378274,-0.10526182591324092,1,0.084774,2.0,0.042387,0.04151327553047106,-0.2932049628343434,1,0.784207,0.215793,-0.4071424847182191,1,0.136484,-0.3836975736758725,1,5.0,6.0,0.7142857142857143
ABC414,219.0,2.3404441148401185,0.5415971642075842,2,0.106824,2.0,0.053412,0.052034419686337804,0.7336661566892666,2,0.844515,0.15548499999999998,-1.1311274167066128,0,0.085078,-1.0173256897676677,0,4.0,5.0,0.5952380952380952
ABC414,189.0,2.2764618041732443,0.16533042417109495,2,0.107364,2.0,0.053682,0.05229069681633557,0.7586789860441769,3,0.844515,0.15548499999999998,-1.1311274167066128,0,0.085078,-1.0173256897676677,0,5.0,6.0,0.7142857142857143
ABC414,246.0,2.3909351071033793,0.8385242501801247,3,0.090002,2.0,0.045001,0.0440178423541155,-0.04875746738933983,2,0.844515,0.15548499999999998,-1.1311274167066128,0,0.085078,-1.0173256897676677,0,5.0,6.0,0.7142857142857143
ABC415,154.0,2.187520720836463,-0.35771369745626963,1,0.102051,2.0,0.0510255,0.049766354207522706,0.5123013599637107,2,0.792455,0.20754499999999998,-0.5061580003884502,1,0.114138,-0.6591333959959762,1,6.0,7.0,0.8333333333333334
ABC415,257.0,2.4099331233312946,0.9502476555828454,3,0.065518,2.0,0.032759,0.03223386185371488,-1.1988823083405293,0,0.792455,0.20754499999999998,-0.5061580003884502,1,0.114138,-0.6591333959959762,1,6.0,7.0,0.8333333333333334
